name,address,email,phone_number,banking_account
Delacorte Books for Young Readers,38938 Park Blvd,jina_briddick@briddick.com,617-997-5771,868170978085563      
Thomas Nelson,5 Tomahawk Dr,kanisha_waycott@yahoo.com,323-315-7314,487173537707688      
Wiley,762 S Main St,emerson.bowley@bowley.org,608-658-7940,614214889762510      
Heinemann Drama,209 Decker Dr,bmalet@yahoo.com,215-794-4519,103194595205435      
McGraw-Hill,4486 W O St #1,bbolognia@yahoo.com,212-617-5063,542448804533028      
O'Reilly Media,39 S 7th St,lnestle@hotmail.com,931-303-6041,610364300835158      
Citadel,98839 Hawthorne Blvd #6101,sabra@uyetake.org,803-681-3678,173876442084019      
Penguin Classics,71 San Mateo Ave,mmastella@mastella.com,610-379-7125,523572890729461      
Signet,76 Brooks St #9,karl_klonowski@yahoo.com,908-470-4661,700523026965222      
Penguin Books,4545 Courthouse Rd,twenner@aol.com,516-333-4861,704644311280507      
Cliffs Notes,14288 Foster Ave #4121,amber_monarrez@monarrez.org,215-329-6386,438262222184644      
Barnes & Noble Classics,4 Otis St,shenika@gmail.com,818-749-8650,857375300877978      
Dover Publications,65895 S 16th St,delmy.ahle@hotmail.com,401-559-8961,921167069719361      
Barnes & Noble,14302 Pennsylvania Ave,deeanna_juhas@gmail.com,215-417-9563,968922928249099      
Mira Books,201 Hawk Ct,bpugh@aol.com,401-300-8122,829516430835642      
Cambridge University Press,53075 Sw 152nd Ter #615,jamal@vanausdal.org,732-904-2931,411111031594851      
Buccaneer Books,59 N Groesbeck Hwy,cecily@hollack.org,512-861-3814,370852844724265      
Scribner,2664 Lewis Rd,carmelina_lindall@lindall.com,303-874-5160,607061970238595      
Clarity Press,59 Shady Ln #53,maurine_yglesias@yglesias.com,414-573-7719,900127197169518      
Rowman & Littlefield Publishers,3305 Nabell Ave #679,tawna@gmail.com,212-462-9157,907617536225619      
Pearson,18 Fountain St,penney_weight@aol.com,907-873-2882,768992444051343      
Harper Perennial,7 W 32nd St,elly_morocco@gmail.com,814-420-3553,593925305502514      
EMC/Paradigm Publishing,2853 S Central Expy,ilene.eroman@hotmail.com,410-937-4543,225030983161475      
Teaching Resources,74 W College St,vmondella@mondella.com,208-737-8439,509661129554607      
Turtleback Books,701 S Harrison Rd,kallie.blackwood@gmail.com,415-604-7609,148157193192236      
Little  Brown Book Group,1088 Pinehurst St,johnetta_abdallah@aol.com,919-715-3791,344594409334301      
William Morrow,30 W 80th St #1995,brhym@rhym.com,650-811-9032,886202870329674      
Atria Books,20932 Hedley St,micaela_rhymes@gmail.com,925-522-7798,311242463724464      
Vintage Crime/Black Lizard,2737 Pistorio Rd #9230,tamar@hotmail.com,740-526-5410,567813083555568      
Picador USA,74989 Brandon St,moon@yahoo.com,585-498-4278,480393652457498      
Sterling,6 Kains Ave,laurel_reitler@reitler.com,410-957-6903,873722374104770      
Puffin,47565 W Grand Ave,delisa.crupi@crupi.com,973-847-9611,676510299004992      
New Directions Publishing,4284 Dorigo Ln,viva.toelkes@gmail.com,773-352-3437,488699731542155      
Grove Press,6794 Lake Dr E,elza@yahoo.com,973-796-3667,875677186468314      
New Directions,31 Douglas Blvd #950,devorah@hotmail.com,505-950-1763,690439786409093      
Barnes  Noble Classics,44 W 4th St,timothy_mulqueen@mulqueen.org,718-654-7063,377452438607775      
Brookline Books,11279 Loytan St,ahoneywell@honeywell.com,904-514-9918,747693647791314      
Pantheon,69 Marquette Ave,dominque.dickerson@dickerson.org,510-901-7640,859751214473062      
One World (UK),70 W Main St,lettie_isenhower@yahoo.com,216-733-8494,461626009201012      
Interlink Publishing Group,461 Prospect Pl #316,mmunns@cox.net,817-451-3518,478504839190704      
Knopf,47154 Whipple Ave Nw,stephaine@barfield.com,310-968-1219,288626506424185      
Sterling Children's Books,37 Alabama Ave,lai.gato@gato.org,847-957-4614,716757648745011      
Simon & Schuster,3777 E Richmond St #900,stephen_emigh@hotmail.com,330-700-2312,591770143156988      
Atheneum Books for Young Readers,3 Fort Worth Ave,tshields@gmail.com,215-228-8264,122594483388658      
Abdo Publishing Company,4800 Black Horse Pike,twardrip@cox.net,650-216-5075,615783586967990      
Black Classic Press,83649 W Belmont Ave,cory.gibes@gmail.com,626-696-2777,886796679824587      
French & European,840 15th Ave,danica_bruschke@gmail.com,254-205-1422,863589369622510      
Random House Books for Young Readers,1747 Calle Amanecer #2,wilda@cox.net,907-914-9482,160649548636452      
Zebra,99385 Charity St #840,elvera.benimadho@cox.net,408-440-8447,192354177193327      
Greenwillow Books,68556 Central Hwy,carma@cox.net,510-452-4835,875873921441689      
Booket,55 Riverside Ave,malinda.hochard@yahoo.com,317-472-2412,423519508553991      
Del Rey,7140 University Ave,natalie.fern@hotmail.com,307-279-3793,696184107590296      
Ace,64 5th Ave #1153,lisha@centini.org,703-475-7568,772173260542540      
Pocket Books,3 Secor Rd,arlene_klusman@gmail.com,504-946-1807,465560102195144      
Samuel French  Inc.,4 Webbs Chapel Rd,alease@buemi.com,303-521-9860,255168443561430      
Princeton University Press,524 Louisiana Ave Nw,louisa@cronauer.com,510-472-7758,143476734454542      
W. W. Norton & Company,185 Blackstone Bldge,angella.cetta@hotmail.com,808-475-2310,893813639149475      
HMH Books for Young Readers,170 Wyoming Ave,cgoldammer@cox.net,952-938-9457,885261215533149      
Penguin,4 10th St W,rosio.cork@gmail.com,336-497-4407,637488843172572      
Vintage Contemporaries,7 W Pinhook Rd,ckorando@hotmail.com,516-365-7266,826921590639556      
Penguin Press,1 Commerce Way,twana.felger@felger.org,503-909-7167,208639607286005      
Harper Perennial Modern Classics,64 Lakeview Ave,estrella@aol.com,608-942-8836,324041092274739      
Back Bay Books,3 Aspen St,dkines@hotmail.com,508-843-1426,331837044996251      
Knopf Publishing Group,32860 Sierra Rd,tiffiny_steffensmeier@cox.net,305-304-6573,251928950235077      
Vintage International,555 Main St,emiceli@miceli.org,814-299-2877,859046573527040      
Everyman's Library,2 Se 3rd Ave,sue@aol.com,972-742-4000,756825199091990      
Sun and Moon Press,2239 Shawnee Mission Pky,jshin@shin.com,931-739-1551,950030079601593      
Sky Books (NY),2726 Charcot Ave,rolland@cox.net,973-284-4048,926128206572421      
Picador,5161 Dorsett Rd,pamella.schmierer@schmierer.org,305-575-8481,176781147290843      
Henry Holt & Company,55892 Jacksonville Rd,gkulzer@kulzer.org,410-916-8015,879508842286188      
Actes Sud,5 N Cleveland Massillon Rd,shawna_palaspas@palaspas.org,805-638-6617,349607302201611      
Penguin Books Ltd. (London),7 Benton Dr,brandon_callaro@hotmail.com,808-240-5168,944864683758963      
Business Plus,9390 S Howell Ave,scarlet.cartan@yahoo.com,229-365-9658,629044095565844      
Simon  Schuster,8 County Center Dr #647,oretha_menter@yahoo.com,617-697-6024,842172839093120      
W. W. Norton  Company,4646 Kaahumanu St,tsmith@aol.com,201-995-3149,753705774409550      
Filiquarian Publishing  LLC.,2 Monroe St,xuan@gmail.com,650-247-2625,499003997100684      
Lerner Publications,52777 Leaders Heights Rd,lindsey.dilello@hotmail.com,909-589-1693,666446825564750      
Adventures Unlimited Press,72868 Blackington Ave,devora_perez@perez.org,510-755-9274,520529975776830      
Harlequin Blaze,9 Norristown Rd,hdemesa@cox.net,518-931-7852,275149107738947      
Listening Library (Audio),83 County Road 437 #8581,rpapasergi@cox.net,570-469-8401,899476357446213      
Random House,1 N Harlem Ave #9,talia_riopelle@aol.com,973-818-9788,655095368623892      
HarperCollins Publishers,90131 J St,van.shire@shire.com,908-448-1209,188177559617404      
Large Print Press,8597 W National Ave,lucina_lary@cox.net,321-632-4668,521799711666884      
Peachpit Press,6 Gilson St,bok.isaacs@aol.com,718-478-8568,662110959356251      
Taschen,65 W Maple Ave,rolande.spickerman@spickerman.com,808-526-5863,551136831064252      
Bantam,866 34th Ave,hpaulas@gmail.com,303-692-3118,207459993021768      
HarperTorch,798 Lund Farm Way,kimbery_madarang@cox.net,973-225-6259,795908263229861      
Walker & Company,9387 Charcot Ave,thurman.manno@yahoo.com,609-234-8376,889273273641549      
Haynes Manuals N. America  Inc.,30553 Washington Rd,becky.mirafuentes@mirafuentes.com,908-426-8272,470717840377916      
Rockport Publishers,481 W Lemon St,beatriz@yahoo.com,508-315-3867,265755075639978      
Signet Classics,4 Warehouse Point Rd #7,marti.maybury@yahoo.com,773-539-1058,843487037438277      
Oxford University Press,4940 Pulaski Park Dr,nieves_gotter@gmail.com,503-455-3094,233329578895135      
Plume,627 Walford Ave,lhagele@cox.net,214-225-5850,367585218522394      
Signet Book,137 Pioneer Way,vklimek@klimek.org,312-512-2338,348834071010617      
Dutton,61 13 Stoneridge #835,melissa@cox.net,419-254-4591,926956180062313      
NAL,2409 Alabama Rd,sheridan.zane@zane.com,951-248-6822,339394366102049      
For Dummies,8927 Vandever Ave,bulah_padilla@hotmail.com,254-816-8417,363556199097354      
Random House Trade Paperbacks,134 Lewis Rd,audra@kohnert.com,615-448-9249,277894221583942      
Lyons Press,9 N College Ave #3,dweirather@aol.com,414-838-3151,341082487752345      
Alliance Publishing,60480 Old Us Highway 51,fjillson@aol.com,410-724-6472,131651802057613      
Alfred A. Knopf,4 Bloomfield Ave,gearldine_gellinger@gellinger.com,972-821-7118,744414065893338      
Bedford Books,429 Tiger Ln,chau@gmail.com,310-969-7230,464246942845641      
Oxford University Press  USA,54169 N Main St,theola_frey@frey.com,516-357-3362,538055302761322      
Dey Street Books,92 Main St,cheryl@haroldson.org,609-263-9243,588069391120992      
Vintage Espanol,72 Mannix Dr,lmerced@gmail.com,513-418-1566,164812229241038      
Vintage Books USA,12270 Caton Center Dr,carissa.batman@yahoo.com,541-801-5717,490854476213633      
Wisdom Publications,749 W 18th St #45,lezlie.craghead@craghead.org,919-885-2453,609903588314116      
Rough Guides,8 Industry Ln,oshealy@hotmail.com,212-880-8865,623795657205887      
Lonely Planet,1 Huntwood Ave,arminda@parvis.com,602-277-3025,140036896939414      
Geoplaneta,55262 N French Rd,reita.leto@gmail.com,317-787-5514,455673818911440      
Mariner Books,422 E 21st St,yolando@cox.net,315-640-6357,560379391242827      
Avon,501 N 19th Ave,lizette.stem@aol.com,856-702-3676,935324395230101      
Payot,455 N Main Ave,gpawlowicz@yahoo.com,516-376-4230,389290271763353      
HarperCollins Perennial,1844 Southern Blvd,cdeleo@deleo.com,501-409-6072,377164937108483      
Spectra Books,2023 Greg St,chantell@yahoo.com,651-776-9688,446872883684552      
Spectra,63381 Jenks Ave,dyum@yahoo.com,215-346-4666,139490969107263      
Bantam Books,6651 Municipal Rd,larae_gudroe@gmail.com,985-261-5783,733500578552216      
Two Plus Two Publishing LLC,81 Norris Ave #525,latrice.tolfree@hotmail.com,631-998-2102,906276458423086      
Basic Books,6916 W Main St,kerry.theodorov@gmail.com,916-770-7448,448406758438632      
Ignatius Press,9635 S Main St,dhidvegi@yahoo.com,208-690-3315,215869770379274      
HarperOne,17 Us Highway 111,fannie.lungren@yahoo.com,512-528-9933,455934557080974      
HarperCollins,992 Civic Center Dr,evangelina@aol.com,215-417-5612,828336745499734      
VIZ Media LLC,303 N Radcliffe St,novella_degroot@degroot.org,808-746-1865,396416611844316      
Borgo Press,73 Saint Ann St #86,choa@hoa.org,775-848-9135,493980398765163      
It Books,44 58th St,jfallick@yahoo.com,847-800-3054,749080238271158      
Random House Large Print Publishing,9745 W Main St,irma.wolfgramm@hotmail.com,973-868-8660,743729342204407      
Newmarket Press,84 Bloomfield Ave,eun@yahoo.com,864-594-4578,622026040461396      
Oni Press,287 Youngstown Warren Rd,sylvia_cousey@cousey.org,410-863-8263,313346965192868      
Moody Publishers,6 Van Buren St,nana@aol.com,914-796-3775,832130278009072      
Umbriel,229 N Forty Driv,layla.springe@cox.net,212-253-7448,621822000365238      
FonoLibro,2887 Knowlton St #5435,joesph_degonia@degonia.org,510-942-5916,566741327324165      
Anchor,523 Marquette Ave,annabelle.boord@cox.net,978-289-7717,302667124456695      
Pocket,3717 Hamann Industrial Pky,stephaine@cox.net,415-712-9530,984258572205021      
Corgi Books,3 State Route 35 S,nelida@gmail.com,201-247-8925,612881258904116      
Bantam Press,82 N Highway 67,marguerita.hiatt@gmail.com,925-541-8521,966364740904078      
Pinnacle,9 Murfreesboro Rd,ccookey@cookey.org,773-297-9391,679081195814715      
Gallery Books,6 S Broadway St,jbrideau@aol.com,973-582-5469,305375545462074      
Tarcherperigee,6 Harry L Dr #6327,claribel_varriano@cox.net,419-573-2033,362870443722341      
High Roads Media,47939 Porter Ave,benton.skursky@aol.com,310-694-8466,174144065200246      
Firebrand Books,9 Wales Rd Ne #914,hillary.skulski@aol.com,352-990-5946,100578709775201      
Berkley Books,195 13n N,merilyn_bayless@cox.net,408-346-2180,813215505757493      
Recorded Books  Inc.,99 Tank Farm Rd,tennaco@gmail.com,570-355-1665,501217659582086      
University of Chicago Press,4671 Alemany Blvd,merlyn_lawler@hotmail.com,201-858-9960,576818661961007      
Howard Publishing Co,98 University Dr,gmontezuma@cox.net,925-943-3449,925024081475807      
Zondervan,50 E Wacker Dr,jmconnell@hotmail.com,908-602-5258,681011170565040      
Delta,70 Euclid Ave #722,lemuel.latzke@gmail.com,631-291-4976,923262729449304      
HarperCollins Publishers  Inc.,326 E Main St #6496,mknipp@gmail.com,805-810-8964,921785341613928      
Rodale Books,406 Main St,candida_corbley@hotmail.com,908-943-6103,331731534139499      
High Point Media,3 Elmwood Dr,karan_karpin@gmail.com,503-707-5812,688214099160960      
John Wiley & Sons,9 Church St,andra@gmail.com,503-950-3068,712824377431266      
B Books,9939 N 14th St,fpoullion@poullion.com,856-828-6021,536987599004414      
Red Dress Ink,5384 Southwyck Blvd,belen_strassner@aol.com,770-802-4003,811654926683624      
Ryland Peters & Small,97 Airport Loop Dr,gracia@melnyk.com,904-627-4341,672946883710057      
Clarkson Potter,37855 Nolan Rd,jhanafan@gmail.com,207-233-6185,781844738479591      
Clarkson Potter Publishers,4252 N Washington Ave #9,barrett.toyama@toyama.org,817-577-6151,873152784791311      
Ediciones B,42754 S Ash Ave,helga_fredicks@yahoo.com,716-854-9845,560528789314100      
Putnam Publishing Group,703 Beville Rd,apinilla@cox.net,305-857-5489,425841911558220      
Mariner Books / Harvest Books,5 Harrison Rd,fausto_agramonte@yahoo.com,212-778-3063,695329629930131      
Gallimard,73 Southern Blvd,ronny.caiafa@caiafa.org,215-511-3531,748279876727756      
Anchor Books,189 Village Park Rd,marge@gmail.com,850-330-8079,995051480193095      
Lulu.com,6 Middlegate Rd #106,norah.waymire@gmail.com,415-874-2984,434093953192649      
Jossey-Bass,1128 Delaware St,aliza@aol.com,408-425-1994,951715048007606      
Prentice Hall,577 Parade St,mpelkowski@pelkowski.org,650-960-1069,143541195157095      
Little  Brown,70 Mechanic St,viola@gmail.com,818-481-5787,373920012656507      
Harper Paperbacks,4379 Highway 116,femard@emard.com,215-483-3003,440260016247217      
Prentice Hall Press,55 Hawthorne Blvd,willodean_konopacki@konopacki.org,337-774-7564,843759296987448      
Crown Publishing Group,7116 Western Ave,beckie.silvestrini@silvestrini.com,313-390-7855,342270020266544      
BradyGames,2026 N Plankinton Ave #3,rgesick@gesick.org,512-693-8345,950095882175738      
Penguin (Business),99586 Main St,frederica_blunk@gmail.com,214-529-1949,119959881730275      
Tor Classics,8739 Hudson St,glen_bartolet@hotmail.com,206-389-1482,957758798660765      
Doubleday Books,383 Gunderman Rd #197,freeman_gochal@aol.com,610-752-2683,468366850242105      
Warner Books,4441 Point Term Mkt,vincent.meinerding@hotmail.com,215-829-4221,335313695601628      
Continuum,2972 Lafayette Ave,rima@cox.net,310-499-4200,910665823685242      
Stackpole Books,2140 Diamond Blvd,gsarbacher@gmail.com,707-881-3154,883245818122343      
Prometheus Books,93 Redmond Rd #492,avery@cox.net,407-945-8566,782775240230382      
St. Augustines Press,3989 Portage Tr,cristy@lother.com,760-465-4762,348869645318128      
Hackett Publishing Company  Inc.,1 Midway Rd,nicolette_brossart@brossart.com,508-504-6388,925046761678023      
Cornell University Press,77132 Coon Rapids Blvd Nw,tracey@hotmail.com,936-988-8171,932289623215387      
W.W. Norton & Company,755 Harbor Way,virgina_tegarden@tegarden.com,414-411-5744,966976363526918      
Everyman's Library 234,87 Sierra Rd,tfrankel@aol.com,626-638-4241,142218652656591      
Bolchazy-Carducci Publishers,7667 S Hulen St #42,alaine_bergesen@cox.net,914-654-1426,446092294323378      
Harvard University Press,75684 S Withlapopka Dr #32,earleen_mai@cox.net,214-785-6750,977136242279553      
Atelos Press,5 Elmwood Park Blvd,leonida@gobern.org,228-432-4635,397664074092326      
Harvard Common Press,23 Palo Alto Sq,ressie.auffrey@yahoo.com,305-287-4743,784729964850027      
Viking,38062 E Main St,jmugnolo@yahoo.com,212-311-6377,345459880014294      
Gramercy,3958 S Dupont Hwy #7,eladia@saulter.com,201-365-8698,286885624878691      
Applause Books,560 Civic Center Dr,chaya@malvin.com,734-408-8174,536551308087727      
Nonpareil Books,3270 Dequindre Rd,gwenn_suffield@suffield.org,631-295-9879,932612520822473      
Bryn Mawr Commentaries,1 Garfield Ave #7,skarpel@cox.net,330-618-2579,299421780220411      
New York Review of Books,9122 Carpenter Ave,yoko@fishburne.com,203-840-8634,488437180805472      
Bantam Classics,48 Lenox St,taryn.moyd@hotmail.com,703-938-7939,475679032199029      
Loeb Classical Library,5 Little River Tpke,katina_polidori@aol.com,978-679-7429,800070210243768      
Bloomsbury Methuen Drama,3 N Groesbeck Hwy,rickie.plumer@aol.com,419-313-5571,383811705397387      
Bristol Classical Press,37 N Elm St #916,alex@loader.com,253-875-9222,804973003771270      
University of Pennsylvania Press,433 Westminster Blvd #590,lashon@aol.com,916-289-4526,528647801314802      
Kessinger Publishing,66697 Park Pl #3224,lburnard@burnard.com,307-453-7589,141271175725688      
New American Library,96263 Greenwood Pl,ceola.setter@setter.org,207-297-5029,861672831062898      
Prestwick House - (Literary Touchstone Classic),8 Mcarthur Ln,my@hotmail.com,215-647-2158,341040709946259      
Signet Books (NY),8 Fair Lawn Ave,lorrine.worlds@worlds.com,813-863-6467,666133206219871      
Focus Publishing/R. Pullins Company,9 N 14th St,peggie@cox.net,619-695-8086,458058281648192      
Loeb Classical Library/Harvard University Press,9 Vanowen St,mraymo@yahoo.com,979-809-5770,843828112249355      
Harcourt,18 Waterloo Geneva Rd,daron_dinos@cox.net,847-265-6609,359992696813930      
Little Brown and Company,506 S Hacienda Dr,an_fritz@hotmail.com,609-854-7156,468516589480206      
Simon Schuster,3732 Sherman Ave,portia.stimmel@aol.com,908-670-4712,691060268927455      
Berrett-Koehler Publishers,25657 Live Oak St,rhea_aredondo@cox.net,718-280-4183,711060030589884      
Anagrama,4923 Carey Ave,bsama@cox.net,314-858-4832,857981753070745      
Granta UK,3196 S Rider Trl,alyce@arias.org,209-242-7022,670374476382500      
Longman Publishing Group,3 Railway Ave #75,heike@gmail.com,973-822-8827,856183451846794      
Seix Barral,87393 E Highland Rd,carey_dopico@dopico.org,317-441-5848,619829625783106      
New City Press,67 E Chestnut Hill Rd,dottie@hellickson.org,206-295-5631,774775961841965      
University of California Press,33 Lewis Rd #46,deandrea@yahoo.com,336-467-3095,270370765867758      
Library of Liberal Arts/Bobb-Merrill (Indianapolis  IN),8100 Jacksonville Rd #7,kimberlie_duenas@yahoo.com,785-616-1685,851696766633606      
Hackett Publ. Co Inc,7 W Wabansia Ave #227,martina_staback@staback.com,407-429-2145,377518399954422      
Ecco Press,25 Minters Chapel Rd #9,skye_fillingim@yahoo.com,612-664-6304,776846003114506      
Santillana USA Publishing Company,6882 Torresdale Ave,jade.farrar@yahoo.com,803-975-3405,672155783967832      
Harcourt Brace,985 E 6th Ave,charlene.hamilton@hotmail.com,707-821-8037,124981115769553      
University of Oklahoma Press,7 West Ave #1,geoffrey@gmail.com,847-556-2909,692073882159013      
Wayne State University Press,26659 N 13th St,stevie.westerbeck@yahoo.com,949-903-3898,813175599890705      
Everyman,669 Packerland Dr #1438,pamella@fortino.com,303-794-1341,986244214718031      
Tarcher,759 Eldora St,hhaufler@hotmail.com,203-801-8497,727233335534307      
Three Rivers Press (CA),5 S Colorado Blvd #449,jengelberg@engelberg.org,425-700-3751,124661151293978      
W.W. Norton,944 Gaither Dr,buddy.cloney@yahoo.com,440-327-2093,213292249976837      
North Point Press,66552 Malone Rd,dalene.riden@aol.com,603-745-7497,329865827508985      
Warner Books (NY),77 Massillon Rd #822,jzurcher@zurcher.org,321-597-2159,920171219300494      
Jove,25346 New Rd,hdenooyer@denooyer.org,212-782-3493,813865185782718      
Alfred A. Knopf Books for Young Readers,60 Fillmore Ave,joseph_cryer@cox.net,714-698-2170,587617893235963      
Libraries Unlimited,57 Haven Ave #90,deonna_kippley@hotmail.com,248-793-4966,110920319482982      
Owl Books (Henry Holt),6538 E Pomona St #60,raymon.calvaresi@gmail.com,317-342-1532,209844296377410      
Pantheon Books (NY),6535 Joyce St,alecia@aol.com,940-302-3036,367021658721274      
Penguin Books Ltd,78112 Morris Ave,mlayous@hotmail.com,203-564-1543,955423625730698      
Villard,96950 Hidden Ln,detra@aol.com,410-259-2118,378258394708931      
Modern Library,3718 S Main St,terrilyn.rodeigues@cox.net,504-635-8518,550024853541139      
Farrar  Straus and Giroux (NY),9677 Commerce Dr,slacovara@gmail.com,804-858-1011,107035841711386      
Planeta Publishing,5 Green Pond Rd #4,garry_keetch@hotmail.com,215-846-9046,889549399139604      
Mountaineers Books,636 Commerce Dr #42,mneither@yahoo.com,952-906-4597,181258130484772      
Scholastic Paperbacks,42744 Hamann Industrial Pky #82,theodora.restrepo@restrepo.com,305-573-1085,798360692583790      
Library of America,1950 5th Ave,noah.kalafatis@aol.com,414-660-9766,938182654416612      
Collector's Library,61304 N French Rd,csweigard@sweigard.com,732-445-6940,224724092488299      
Spark Publishing,87 Imperial Ct #79,lavonda@cox.net,701-421-7080,844219167857991      
Egmont Books Ltd,94 W Dodge Rd,junita@aol.com,775-578-1214,107446391139308      
Touchstone,4 58th St #3519,herminia@nicolozakes.org,602-304-6433,798933060993802      
Arthur A. Levine,5221 Bear Valley Rd,casie.good@aol.com,615-825-4297,834785676789387      
Bloomsbury Academic,9648 S Main,reena@hotmail.com,410-951-2667,974711283101003      
Bloomsbury Publishing,7 S San Marcos Rd,mirta_mallett@gmail.com,212-745-6948,209340727931567      
Digireads.com,812 S Haven St,cathrine.pontoriero@pontoriero.com,806-558-5848,459713264298984      
OUP Oxford,3882 W Congress St #799,ftawil@hotmail.com,323-842-8226,394278792899469      
Vintage Crime,4 E Colonial Dr,rupthegrove@yahoo.com,619-666-4765,280017988964998      
Plume Books,45 2nd Ave #9759,sarah.candlish@gmail.com,770-531-2842,118713241745770      
BBC Worldwide,57254 Brickell Ave #372,lucy@cox.net,508-502-5634,247764541363103      
Viking Books,8977 Connecticut Ave Nw #3,jaquas@aquas.com,269-431-9464,197686284236007      
MIT Press,9 Waydell St,yvonne.tjepkema@hotmail.com,973-976-8627,681850139976249      
Copernicus Books,43 Huey P Long Ave,kayleigh.lace@yahoo.com,337-751-2326,566867046970190      
Running Press Book Publishers,7563 Cornwall Rd #4462,felix_hirpara@cox.net,717-583-1497,217807055261220      
ReganBooks,22 Bridle Ln,tresa_sweely@hotmail.com,314-231-3514,515510908159640      
Batsford,70099 E North Ave,kristeen@gmail.com,817-947-9480,314470252766640      
Grand Central Life & Style,3211 E Northeast Loop,jregusters@regusters.com,813-357-7296,564715251071840      
Little  Brown and Company,26 Montgomery St,renea@hotmail.com,770-930-9967,944946010399519      
MTV Books,13252 Lighthouse Ave,olive@aol.com,760-745-2649,318872383616757      
G.P. Putnam's Sons,206 Main St #2804,lreiber@cox.net,517-747-7664,895591951178421      
